pid,name,price,in_stock,brand,description
101,"Essentia Bottled Water, 700 mL, Pack of 24 Bottles",40.39,6735,Essential Water,"99.9% PURE: Our overachieving H2O passes through micro filtration and reverse osmosis, making it 99.9% pure. From the gym bag to the recording studio, Essentia is committed to keeping you supercharged."
102,Honeycrisp Apple,2.99,5289,Produce (Brands May Vary),"Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition."
103,"Apple iPhone 12 Pro (512GB, Pacific Blue)",1299,1958,Apple,"A superpowerful chip. 5G speed. An advanced dual?camera system. A Ceramic Shield front that's tougher than any smartphone glass. And a bright, beautiful OLED display. iPhone 12 has it all in two great sizes."
104,Gaming keyboard,100,3874,Logic,Backed by a legacy as the first and most iconic mechanical gaming keyboard
105,Fire TV Stick,19.99,583,Amazon,Latest generation of our best-selling Fire TV device - 50% more powerful than the 2nd generation for fast streaming in Full HD. Includes Alexa Voice Remote with power and volume buttons.
106,"Champion Women's Powerblend Joggers, C Logo",49.32,678,Champion,Soft 9 oz. polyester/cotton blend helps reduce pilling and shrinkage. Fabric: Body: 60% Polyester/40% cotton; 1x1 rib: 65% polyester/35% cotton.
107,SWAROVSKI Women's Crystalline Crystal Watch Collection,252.44,487,SWAROVSKI,Eminently elegant: This Swarovski watch from our Crystalline Aura Collection artfully combines form and function.
108,"Briggs & Riley Rhapsody-Softside Spinner Luggage, Plum, Checked-Medium 25-Inch",399,347,Briggs & Riley,"HIGH PERFORMANCE CHECKED LUGGAGE: Four double swivel spinner wheels for smooth, effortless 360 navigation and long rolling life. Large u-zip front pocket for hassle-free access to extra items"
109,Crocs Men's and Women's Classic Clog,49.99,298,Crocs,"CROCS FOR EVERYONE: With a color and style for every personality, the Classic Clogs are the Crocs women and men need to start a comfort revolution around the world"
110,Baby Diaper Wipes,10.97,873,Pampers,Pampers Sensitive wipes are clinically proven for sensitive skin
111,Fisher Chef's Naturals Walnut Halves & Pieces,11.26,285,Fisher Nuts,"Fisher walnuts add an earthy, fruity, and mildly tart flavor and tender texture to breakfasts and desserts, appetizers and salads, and meats and dips"
112,"Doritos Tortilla Chips, Nacho Cheese",5.27,286,Doritos,DORITOS isn't just a chip. It's fuel for disruption our flavors ignite adventure and inspire action.
113,Amazon Basics 4 Pack AA High-Performance Alkaline Batteries,3.59,175,Amazon Basic,"DEVICE COMPATIBLE: Ideal battery for game controllers, toys, flashlights, digital cameras, clocks, and more"
114,Apple Cider Vinegar Gummy Vitamins,18.98,324,Goli Nutrition,"Vegan, Non-GMO, Gluten-free & Gelatine-free: Each bottle of Goli contains 60 delicious vegan, non-gmo, gluten-free & gelatine free Apple Cider gummies. Our formula will make Apple Cider Vinegar gummies accessible to anyone and everyone."
115,YETI Rambler Jr. 12 oz Kids Bottle,28.46,853,YETI,YETI kids need a bottle that can keep up. Introducing Rambler Jr. - a small-and-mighty kids bottle over-engineered for your little wild ones
116,Dash Cam Front and Rear CHORTAU Dual Dash Cam,69.95,22,CHORTAU,"This dual dash cam equipped with 1080P resolution front camera and waterproof rear camera.The car dashcam with 6 pcs IR LED and Wide Dynamic Range, the front camera captures the license plates and road signs clearly even at night, thus ensuring to get you the best footage. Wide-angle front (170) and rear 130 camera help eliminate the blind spots of your vision. "
117,UNO Family Card Game,9.9,398,Mattel Games,UNO is the classic family card game that's easy to learn and so much fun to play!
118,Athletico National Soccer Bag,45,348,Athletico,"LARGE VENTED BALL COMPARTMENT - The front ball compartment is perfect for carrying a soccer ball, volleyball, basketball, or football"
119,Intex Explorer K2 Kayak,150.79,111,Intex,Comfortable for anyone: Kayak includes an adjustable inflatable seat with backrest; Cockpit designed for comfort and space
120,Wise Owl Outfitters Waterproof Dry Bag,24.95,86,Wise Owl,"Nobody likes soggy sleeping bags, damp drawers, soaked socks, saturated cellphones or waterlogged laptops. So our dry bags are made from the latest, super-strong, lightweight, and most importantly, waterproof material available."